workflow,workflow_label,control_config,score,decision,main_gap,recommended_control,safety,policy_compliance,rollback,human_oversight,tool_stability,auditability
data_export,Data export,context_envelope,38.35,Remediation,rollback,rollback_hook,43.75,50.75,0.0,33.78,28.0,80.0
data_export,Data export,external_isolation,34.06,Remediation,rollback,rollback_hook,38.0,46.5,0.0,35.08,28.0,58.0
data_export,Data export,human_review_gate,51.5,Remediation,rollback,rollback_hook,57.75,63.5,0.0,75.74,48.0,58.0
data_export,Data export,none,29.75,Remediation,rollback,rollback_hook,27.5,37.5,0.0,35.86,28.0,58.0
data_export,Data export,permission_scope,33.0,Remediation,rollback,rollback_hook,34.75,44.25,0.0,36.4,28.0,58.0
data_export,Data export,recommended_bundle,51.87,Remediation,rollback,rollback_hook,57.25,63.25,0.0,32.75,80.0,80.0
data_export,Data export,rollback_hook,34.31,Remediation,rollback,rollback_hook,33.5,42.25,0.0,34.59,30.0,78.0
data_export,Data export,tool_version_lock,40.23,Remediation,rollback,rollback_hook,34.0,43.5,0.0,34.85,80.0,58.0
email,Email,context_envelope,49.8,Remediation,rollback,rollback_hook,70.25,74.0,0.0,10.92,52.0,80.0
email,Email,external_isolation,47.1,Remediation,rollback,rollback_hook,69.5,73.25,0.0,9.84,52.0,58.0
email,Email,human_review_gate,64.44,Sandbox,rollback,rollback_hook,82.5,85.5,0.0,61.43,78.0,58.0
email,Email,none,45.26,Remediation,rollback,rollback_hook,65.0,69.0,0.0,10.71,52.0,58.0
email,Email,permission_scope,47.05,Remediation,rollback,rollback_hook,70.0,73.5,0.0,8.33,52.0,58.0
email,Email,recommended_bundle,58.71,Sandbox,rollback,rollback_hook,80.0,82.5,0.0,8.75,86.0,80.0
email,Email,rollback_hook,49.29,Remediation,rollback,rollback_hook,67.5,71.5,0.0,10.77,58.0,78.0
email,Email,tool_version_lock,52.34,Remediation,rollback,rollback_hook,69.25,72.5,0.0,12.2,86.0,58.0
it_access,IT access,context_envelope,37.76,Remediation,rollback,rollback_hook,41.5,48.5,5.98,34.62,24.0,80.0
it_access,IT access,external_isolation,33.89,Remediation,rollback,rollback_hook,36.75,44.5,5.93,36.76,24.0,58.0
it_access,IT access,human_review_gate,54.23,Remediation,rollback,rollback_hook,60.0,64.5,5.0,71.88,60.0,58.0
it_access,IT access,none,29.58,Remediation,rollback,rollback_hook,26.75,36.0,5.46,36.52,24.0,58.0
it_access,IT access,permission_scope,34.02,Remediation,rollback,rollback_hook,37.5,45.0,4.8,36.8,24.0,58.0
it_access,IT access,recommended_bundle,54.33,Remediation,rollback,rollback_hook,59.75,64.25,5.59,36.02,82.0,80.0
it_access,IT access,rollback_hook,45.73,Remediation,tool_stability,tool_version_lock,33.0,41.75,76.49,37.69,28.0,78.0
it_access,IT access,tool_version_lock,41.66,Remediation,rollback,rollback_hook,34.25,42.75,5.7,37.26,82.0,58.0
refund,Refund,context_envelope,50.95,Remediation,rollback,rollback_hook,58.0,64.5,5.95,35.71,62.0,80.0
refund,Refund,external_isolation,47.62,Remediation,rollback,rollback_hook,55.75,62.0,5.08,36.16,62.0,58.0
refund,Refund,human_review_gate,62.29,Sandbox,rollback,rollback_hook,70.25,75.0,5.04,76.47,78.0,58.0
refund,Refund,none,43.46,Remediation,rollback,rollback_hook,46.25,54.0,5.12,34.88,62.0,58.0
refund,Refund,permission_scope,47.14,Remediation,rollback,rollback_hook,54.75,61.5,6.08,34.25,62.0,58.0
refund,Refund,recommended_bundle,59.65,Sandbox,rollback,rollback_hook,68.75,74.5,5.6,36.8,88.0,80.0
refund,Refund,rollback_hook,59.33,Sandbox,human_oversight,human_review_gate,51.5,58.75,75.26,36.08,68.0,78.0
refund,Refund,tool_version_lock,49.12,Remediation,rollback,rollback_hook,50.25,58.0,4.02,35.68,88.0,58.0
